 rho 140 T 70 
1e-14 1.0 0.010168797285463629 0.001061406405828481
1e-14 1.2589254117941673 0.011491898131275768 0.001415758019414366
1e-14 1.5848931924611138 0.012988175228036634 0.0018722339923992026
1e-14 1.9952623149688804 0.01468159452013056 0.0024501503271699325
1e-14 2.5118864315095815 0.01660073506538784 0.0031781927836663816
1e-14 3.1622776601683817 0.018781029321171684 0.004104273434677927
1e-14 3.9810717055349754 0.021266397384085516 0.005300060668718599
1e-14 5.011872336272727 0.024107752127391115 0.006851372785226299
1e-14 6.30957344480194 0.027360960590824265 0.008839214854471202
1e-14 7.943282347242826 0.031087707576943437 0.011331807765532727
1e-14 10.000000000000016 0.03536223909724033 0.01439910394062709
1e-14 12.589254117941694 0.04028286579344655 0.01813746643584041
1e-14 15.848931924611158 0.0459839932465611 0.02269583077924592
1e-14 19.95262314968883 0.05264474866969082 0.028281137248520088
1e-14 25.11886431509585 0.06047457212648141 0.03513022418711207
1e-14 31.622776601683857 0.06966160125247703 0.043436302895959476
1e-14 39.81071705534981 0.08025447897010009 0.05321851403267188
1e-14 50.11872336272735 0.0919977178600158 0.06417420404990969
1e-14 63.09573444801949 0.10432887537341232 0.07568180246629572
1e-14 79.43282347242838 0.11673399098692065 0.14624500413588762
1e-14 100.00000000000031 0.12918263903100374 0.43161836830382094
1e-14 125.89254117941714 0.13394036760679692 1.5595607105686633
1e-14 158.4893192461119 0.10998880037550975 5.339576494365773
1e-14 199.5262314968887 0.11784739795995439 3.752576436426345
1e-14 251.18864315095874 0.12322688349144631 3.0861058009199955
1e-14 316.2277660168389 0.12656060624823498 1.4755532539346796
1e-14 398.1071705534986 0.12965754006675714 1.6560574740500227
1e-14 501.18723362727405 0.04901246609699088 3.1915769532634464
1e-14 630.9573444801956 0.051864003390830776 1.0963564982833114
1e-14 794.3282347242846 0.03663578967184509 1.0079020182672458
1e-14 1000.0000000000041 0.0398477772628539 0.9538631630391251
1e-14 1258.9254117941725 0.0006568302079647057 0.8583749823141614
1e-14 1584.8931924611206 0.0031687815816650133 0.6665271385976657
1e-14 1995.262314968889 0.0049059846330751795 0.30025475061601065
1e-14 2511.8864315095925 1.92552944771156e-05 0.08452134522150756
1e-14 3162.2776601683954 5.8080454139979176e-05 0.03507657077032357
1e-14 3981.0717055349937 0.00011061711117195699 0.0003490011976733477
1e-14 5011.8723362727505 0.005142809468131938 0.22960374578503306
1e-14 6309.573444801968 0.23909944107396047 151.05357970275873
1e-14 7943.282347242862 0.3231261970476599 53.30887138006529
1e-14 10000.000000000062 0.32667463393910273 28.338541454650986
1e-14 12589.254117941739 0.34939490557991554 115.71335668357662
1e-14 15848.931924611239 0.3477069409284716 445.74098639234046
1e-14 19952.62314968891 0.35208656436905905 1459.515059365858
1e-14 25118.864315095976 0.36506628992888207 1501.840244264541
1e-14 31622.77660168399 0.3703604194128163 198.64583743695866
1e-14 39810.71705535002 0.37072547972449155 239.6648601343628
1e-14 50118.72336272756 0.36917778402276213 59.56717766039569
1e-14 63095.734448019684 0.37057667076775763 56.766770515840975
1e-14 79432.8234724287 0.38902697684826554 26.2338752977656
1e-14 100000.00000000061 0.4457752278644578 28.56349431952994
1e-14 125892.54117941765 0.4723093193360847 33.80406780764451
1e-14 158489.3192461124 0.4267495743156441 15.357121702115858
1e-14 199526.23149688952 0.3757220524106086 5.064438325632852
1e-14 251188.64315095975 0.35314431548060415 0.7137393031014181
1e-14 316227.7660168405 0.34886868372629276 0.2673972333105321
1e-14 398107.1705535002 0.34773675167729523 0.2041969755050358
1e-14 501187.2336272766 0.34809406368777307 0.3301071380426468
1e-14 630957.3444801981 0.34844670009061735 0.44796917267527386
1e-14 794328.2347242887 0.346016512968608 0.061446473972022714
1e-14 1000000.0000000081 0.3450105778191578 0.00046193263399854796
1e-14 1258925.4117941791 0.34475684763787234 2.4654240661303096e-05
1e-14 1584893.1924611272 0.3444482757865814 4.2026650751266566e-07
1e-14 1995262.3149688991 0.3441440442098357 1.0016177731897292e-07
1e-14 2511886.431509603 0.3437150161983489 1.7005684874108202e-08
1e-14 3162277.660168405 0.3430367859920613 2.525662281782844e-07
1e-14 3981071.70553501 0.34236844668541483 1.5325812462861775e-07
1e-14 5011872.336272766 0.341692063719471 2.157413239372804e-08
1e-14 6309573.444801995 0.3407235341423489 2.2676201133256932e-09
1e-14 7943282.347242886 0.339252018451597 2.098984117307624e-10
1.2589254117941662e-14 1.0 0.010168797285463629 0.001061406405828481
1.2589254117941662e-14 1.2589254117941673 0.011491898131275768 0.001415758019414366
1.2589254117941662e-14 1.5848931924611138 0.012988175228036634 0.0018722339923992026
1.2589254117941662e-14 1.9952623149688804 0.014681594520130556 0.0024501503271699334
1.2589254117941662e-14 2.5118864315095815 0.016600735065387836 0.0031781927836663825
1.2589254117941662e-14 3.1622776601683817 0.01878102932117168 0.004104273434677928
1.2589254117941662e-14 3.9810717055349754 0.021266397384085516 0.005300060668718599
1.2589254117941662e-14 5.011872336272727 0.024107752127391115 0.0068513727852262995
1.2589254117941662e-14 6.30957344480194 0.027360960590824258 0.008839214854471202
1.2589254117941662e-14 7.943282347242826 0.03108770757694343 0.011331807765532727
1.2589254117941662e-14 10.000000000000016 0.03536223909724033 0.01439910394062709
1.2589254117941662e-14 12.589254117941694 0.04028286579344655 0.018137466435840407
1.2589254117941662e-14 15.848931924611158 0.0459839932465611 0.02269583077924592
1.2589254117941662e-14 19.95262314968883 0.05264474866969084 0.028281137248520088
1.2589254117941662e-14 25.11886431509585 0.06047457212648141 0.03513022418711207
1.2589254117941662e-14 31.622776601683857 0.06966160125247702 0.04343630289595948
1.2589254117941662e-14 39.81071705534981 0.08025447897010007 0.05321851403267191
1.2589254117941662e-14 50.11872336272735 0.0919977178600158 0.06417420404990969
1.2589254117941662e-14 63.09573444801949 0.10432887537341232 0.0756818024662957
1.2589254117941662e-14 79.43282347242838 0.11673399098692065 0.1462450041358876
1.2589254117941662e-14 100.00000000000031 0.1291826390310037 0.43161836830382094
1.2589254117941662e-14 125.89254117941714 0.14100433712762303 1.5655660250822692
1.2589254117941662e-14 158.4893192461119 0.10998880037550969 5.339576494365773
1.2589254117941662e-14 199.5262314968887 0.11784739795995432 3.752576436426345
1.2589254117941662e-14 251.18864315095874 0.12322688349144631 3.0861058009199955
1.2589254117941662e-14 316.2277660168389 0.1265606062482349 1.4755532539346796
1.2589254117941662e-14 398.1071705534986 0.12965754006675714 1.6560574740500227
1.2589254117941662e-14 501.18723362727405 0.04901246609699088 3.1915769532634464
1.2589254117941662e-14 630.9573444801956 0.051864003390830776 1.0963564982833114
1.2589254117941662e-14 794.3282347242846 0.036635789671845075 1.0079020182672458
1.2589254117941662e-14 1000.0000000000041 0.0398477772628539 0.9538631630391251
1.2589254117941662e-14 1258.9254117941725 0.0006568302079647057 0.8583749823141614
1.2589254117941662e-14 1584.8931924611206 0.0031687815816650133 0.6665271385976657
1.2589254117941662e-14 1995.262314968889 0.0049059846330751795 0.30025475061601065
1.2589254117941662e-14 2511.8864315095925 1.92552944771156e-05 0.08452134522150756
1.2589254117941662e-14 3162.2776601683954 5.8080454139979176e-05 0.03507657077032357
1.2589254117941662e-14 3981.0717055349937 0.00011061711117195699 0.0003490011976733477
